nm	nmqm	wfl	rooms	bj	bez	wohngut	wohnbest	ww0	zh0	badkach0	badextra	kueche
733.6	6.67	110	4	1918	18	0	0	0	1	0	1	1
745.62	11.84	63	2	1918	1	1	0	0	0	0	0	0
483.69	10.08	48	1	1948	3	1	0	0	0	0	0	0
574.25	8.32	69	3	1966	14	0	0	0	0	0	0	0
746.32	9.1	82	3	1918	2	1	0	0	0	1	0	0
480.88	6.09	79	3	1948	2	1	0	0	0	0	0	0
402.91	4.03	100	4	1918	2	1	0	0	0	0	0	0
640.39	6.74	95	3	1918	2	0	0	0	1	0	0	0
458.03	5.33	86	4	1972	11	0	0	0	0	1	0	1
283.36	7.66	37	1	1969	19	0	0	0	0	1	0	0
483.16	6.9	70	3	1971	19	0	0	0	0	1	0	0
457.2	9.94	46	1	1971	19	1	0	0	0	0	0	0
637.95	7.01	91	4	1969	19	0	0	0	0	1	0	0
634.76	8.14	78	3	1987	19	0	0	0	0	0	0	0
749.05	8.23	91	3	1972	7	0	0	0	0	0	0	0
741.39	7.89	94	4	1966	7	0	0	0	0	0	0	0
434.24	7.24	60	3	1966	6	0	0	0	0	1	0	0
573.37	6.67	86	4	1970	16	0	0	0	0	0	0	0
659.58	7.76	85	4	1969	16	0	0	0	0	0	0	0
422.3	6.12	69	3	1973	16	0	0	0	0	0	0	0
379.29	7.29	52	2	1973	16	0	0	0	0	0	0	0
441.41	4.65	95	3	1957	8	0	0	0	0	0	0	0
805.33	7.74	104	3	1983	22	0	0	0	0	0	1	1
680.03	9.44	72	2	1918	4	1	0	1	0	0	0	0
677.46	9.41	72	2	1990	4	1	0	0	0	0	0	0
1012.86	11.92	85	3	1957	4	1	0	0	0	0	0	0
605.31	7.12	85	3	1957	4	1	0	0	0	0	0	0
689.2	6.69	103	4	1918	4	1	0	0	0	0	0	0
613.56	9.9	62	3	1957	4	1	0	0	1	0	0	0
628.29	8.38	75	3	1948	4	1	0	0	0	0	0	0
482.96	8.78	55	2	1957	3	1	0	0	1	0	0	0
843.65	11.25	75	3	1918	2	0	0	0	0	0	0	0
488.08	8.42	58	2	1966	3	1	0	0	0	0	0	0
267.48	7.43	36	1	1957	9	0	0	0	0	0	0	0
366.55	4.7	78	3	1924	25	0	0	0	1	0	0	0
818.08	10.1	81	3	1918	2	1	0	0	0	0	1	0
383.47	8.72	44	1	1918	9	0	0	0	0	0	0	0
460	6.48	71	3	1918	9	1	0	0	1	0	0	0
244.5	12.22	20	1	1918	9	0	0	0	1	1	0	0
393.7	8.95	44	1	1939	9	1	0	0	0	0	0	0
818.07	8.18	100	4	1924	10	0	0	0	0	0	1	0
649.36	8.12	80	3	1918	9	0	0	0	0	1	0	0
971.47	12.14	80	3	1988	9	1	0	0	0	0	0	0
463.4	11.58	40	2	1918	5	1	0	0	1	0	0	0
541.8	8.09	67	3	1918	5	1	0	0	0	0	0	0
698.14	6.84	102	3	1918	5	1	0	0	0	0	0	0
574.62	9.58	60	2	1972	17	0	0	0	0	0	0	0
716	8.84	81	3	1960	4	1	0	0	0	0	0	0
299.62	7.49	40	2	1948	11	0	0	0	0	0	0	0
501.07	9.64	52	2	1948	12	0	0	0	0	0	0	0
676.68	7.2	94	4	1918	5	1	0	0	0	0	0	0
642.88	11.69	55	1	1960	13	1	0	0	0	0	0	0
579.28	9.19	63	2	1991	13	0	0	0	0	0	0	0
498.5	7.67	65	3	1918	17	0	0	0	0	0	0	0
420.5	7.01	60	2	1918	17	0	0	0	0	1	0	0
329.01	6.45	51	2	1966	23	0	0	0	0	0	0	0
169.74	3.2	53	2	1960	10	0	0	0	0	1	0	0
324.72	5.8	56	2	1948	23	0	0	0	0	0	0	0
489.78	8.16	60	2	1948	21	1	0	0	0	0	0	0
676.46	7.87	86	4	1968	6	0	0	0	0	1	0	0
568.98	10.94	52	2	1987	18	0	0	0	0	0	0	0
408.02	6.8	60	2	1966	17	0	0	0	0	0	0	0
336.29	7.01	48	1	1970	17	0	0	0	0	0	0	0
806.79	8.77	92	4	1960	17	0	0	0	0	0	0	0
623.02	7.51	83	3	1973	16	0	0	0	0	0	0	1
668.34	7.68	87	4	1966	16	1	0	0	0	0	0	0
230.15	7.19	32	1	1975	14	0	0	0	0	0	0	0
441.41	6.79	65	2	1960	18	0	0	0	1	0	0	0
489.58	6.9	71	3	1957	18	0	0	0	0	0	0	0
602.16	7.53	80	3	1918	5	1	0	0	1	0	0	0
285.7	16.81	17	1	1969	18	0	0	0	0	0	0	0
511.31	9.3	55	2	1968	3	1	0	0	0	1	0	0
306.78	7.67	40	2	1918	1	1	0	0	0	0	0	0
485.24	8.22	59	3	1960	12	1	0	0	0	1	0	0
591.67	7.79	76	3	1957	12	1	0	0	0	0	0	0
714.87	7.37	97	4	1918	3	1	0	0	0	0	0	0
850.48	7.73	110	4	1960	21	1	0	0	0	0	1	0
1035.68	9.42	110	4	1957	21	1	0	0	0	0	0	0
386.65	7.89	49	2	1993	3	1	0	0	0	0	0	0
951.81	10.02	95	3	1918	2	0	0	0	1	0	0	0
579.81	10.74	54	2	1957	2	1	0	0	0	0	0	0
680.03	8.72	78	3	1985	14	0	0	0	0	0	0	0
450.96	11.27	40	2	1991	15	1	0	0	0	0	0	0
968.16	9.31	104	4	1998	14	0	0	0	0	0	1	0
369.05	7.53	49	2	1957	3	1	0	0	0	0	0	0
653.16	7.26	90	3	1918	3	1	0	0	0	1	1	1
479.95	9.23	52	2	1957	25	0	0	0	0	0	0	0
533.75	8.09	66	2	1966	25	1	0	0	0	0	0	0
200.84	3.09	65	3	1948	25	0	0	1	1	1	0	0
349.06	6.12	57	3	1948	25	0	0	0	0	1	0	0
899.73	9	100	4	1966	25	1	0	0	0	0	1	0
843.64	9.93	85	3	1973	19	1	0	0	0	0	1	0
597.47	6.87	87	3	1924	19	0	0	0	0	0	0	0
1308.94	10.91	120	4	1957	19	0	0	0	0	0	1	0
676.77	3.76	180	6	1924	5	1	0	1	0	0	0	0
528.03	9.78	54	2	1966	13	0	0	0	0	0	0	0
856.24	9.96	86	3	1983	4	1	0	0	0	0	0	0
971.47	10.56	92	3	1966	4	0	0	0	0	0	0	0
369.84	11.21	33	1	1957	4	1	0	0	0	0	0	0
408.84	7.86	52	1	1957	4	1	0	0	0	0	0	0
334.41	4.78	70	3	1924	4	1	0	0	0	0	0	0
711.56	8.18	87	3	1972	25	1	0	0	0	0	0	0
563.79	7.05	80	4	1918	6	0	0	1	1	0	0	0
585.44	10.64	55	2	1918	9	1	0	0	0	0	0	0
770.34	8.66	89	3	1993	18	0	1	0	0	0	0	0
622.11	11.31	55	2	1993	14	0	0	0	0	0	0	1
246.18	6	41	2	1957	14	0	0	0	0	1	0	0
1173.94	6.35	185	6	1918	5	1	0	0	0	0	1	0
537.38	6.72	80	3	1957	5	0	0	0	0	0	0	0
293.22	5.14	57	2	1966	14	0	0	0	0	0	0	0
562.43	9.53	59	3	1966	14	0	0	0	1	0	0	0
383.48	9.59	40	1	1969	13	1	0	0	0	0	0	0
688.31	7.65	90	4	1986	13	1	0	0	0	0	0	0
477.73	9.01	53	2	1998	13	0	0	0	0	0	0	0
1037.94	10.59	98	4	1991	13	0	0	0	0	0	0	1
639.12	11.62	55	2	1993	16	1	0	0	0	0	0	1
1091.6	13.64	80	3	1957	3	1	0	0	0	0	0	1
618.67	8.14	76	3	1957	3	1	0	0	0	1	0	0
741.39	9.38	79	3	1948	3	1	0	0	0	0	0	0
312.92	12.04	26	1	1967	12	1	0	0	0	0	0	0
408.32	8.88	46	2	1957	12	0	0	0	0	1	0	0
826.26	8.88	93	3	1918	5	1	0	0	0	0	0	0
350.63	7.3	48	2	1960	5	0	0	0	0	1	0	0
383.47	10.36	37	1	1957	17	0	0	0	0	0	0	0
493.43	12.34	40	1	1972	5	0	0	0	0	0	0	0
666.51	10.58	63	2	1981	5	1	0	0	0	0	0	0
664.69	8.86	75	3	1971	16	0	0	0	0	0	0	0
551.7	7.16	77	3	1971	16	0	0	0	0	1	0	0
585.09	8.13	72	3	1970	16	0	0	0	0	0	0	0
450.96	6.44	70	3	1966	16	1	0	0	0	0	1	0
593.77	7.61	78	3	1976	16	1	0	0	0	0	1	0
598.22	8.93	67	2	1948	12	0	0	0	0	0	0	0
420.15	7.24	58	2	1960	2	1	0	0	0	1	0	0
618.84	9.1	68	2	1948	17	0	0	0	1	0	0	0
507.02	6.95	73	3	1957	17	0	0	0	0	0	0	0
531.75	8.86	60	2	1986	17	0	0	0	0	0	0	1
734.54	8.64	85	4	1918	5	0	0	0	0	0	0	0
1017.49	12.72	80	3	1998	2	1	0	0	0	0	0	0
567.55	12.34	46	2	1993	2	0	0	0	0	0	0	0
